text,label
Such a nice lady but very unclear with expectations. Hard to know what she wants until after grading is complete but allows students to work on the mistakes and resubmit. Read verbatim from slides (has fill in the blanks) and has in class exercises almost every class. Don't recommend but still possible to make a good grade.,0
"Gerard is one of my favourite instructors. He provides thought-provoking lessons and the work he assigns really requires students to think critically, engage with their learning and self-reflect. He is easy to talk to and you can tell that he cares about his students. I really appreciate the creative approach he takes in this course and others.",1
"Not the most caring professor, but very straightforward. Tests are straight memorization, but not difficult. Study and you will do well.",1
She's alright,0
"He's the best prof at Blinn. He's extremely experienced, very intelligent, and very hilarious and kind. He made me love the topic and I learned things that will stick with me for a long time. Cares about animals, cares about his students. I can't say enough kind words about him. HIGHLY RECOMMENDED",1
"I took this course in the summer. We went by 2 chapters a week. There was 2 quizzes and 2 discussions due each week. She provides PowerPoints, videos, and links to help you with each chapter. She gives good feedback. She wants you to suceed. Take this course.",1
"This is the best teacher at NOVA. She relates to the students and knows what she is talking about. I would recommend if you have to take this class to take hers. You have to do speeches, but they are easy. If you fail this class than you should just drop out of school. Another good thing is she is pretty hot so you will want to go to every class.",1
"super irresponsible, not good ppl to communicate",0
"I am currently taking her lab and she is very nice, explains everything clearly and makes organic chem understandable. There are no lab reports just a lab notebook.",1
"he's a really cool guy, but with type of subject matter, you'd think he could make it a little more interesting. even lab is a sleeper, though you'll regret it since class participation is 20% of grade!",0
"He's very nice but his class is lecture heavy. His interest is in entomology, and this was a beginner biology class. His exams are pretty easy as long as you study and use the study guides that he posts. He assigns readings for lectures, but I never actually read, but I'm sure it would help your grade if you did.",1
Overall a great professor who knows his stuff. If you are a visual learner he might be a little lecture heavy for you. He is always willing to help as long as you do your job as student and follow the rules.,1
"Very pleasant demeanor, very helpful. If you need more understanding of a concept he will gladly readdress it. Extra credit review every test and gives plenty of partial credit for bad answers as long as you show your work.",1
"Can't stay on topic in class. Tests you (extremely difficultly) on material you did not ever discuss in class, because he was too busy getting on his soap box for an hour. Also grades on whether your opinion on politics mirrors his- didn't think professors actually did this, I'm disgusted.",0
"You have 4 tests and then a comprehensive final made by the marketing department. There is a large group marketing project that you work on through the whole semester. Tests were hard for me, either you have the correct answer or you don't. Some questions were made to confuse you. Know the vocab and essential concepts. Lets you have a note sheet.",1
Extremely lazy.  Worst teacher I have ever had.,0
"One of the best classes I've ever taken at UNT! I was in the accelerated 2040/2050 course and myself, professora and all the other students became like a big happy family, that worked really hard!! You must study, read, go to every class, get involved and work very hard. If you do all of these things, you will do very well. I already miss everyone!",1
"This class is supposed to be an introduction to linear algebra, but Falk teaches it like a graduate course.  His schedule was far different, and much harder than other sections of this class.  Tests were only partially related to homework problems, and often required a huge leap in understanding from what was covered in lecture.",0
"Brother Fawcett is amazing and is incredibly kind and willing to work with you.  I absolutely loved this course and I will be keeping the book for it.  His class really teaches you about parenting and how to be the best parent possible.  Instructions are clear, and you are required to work in groups a few times during the semester.  Great class!",1
he is really strict regarding grades.,0
"She is very nice, however a very tough grader. She is hard to understand(strong accent). The labs are worth only 3 points each, and lab attendance is mandatory(taken for points). The average on the tests are 52-56 percent(for the entire 85 person lectures)&she refuses to curve them. I HIGHLY RECOMMEND TO TAKE A DIFFERENT TEACHER!",0
