index,text,quality,difficulty,prof_name
0,"Tests are way too hard for a course that should be straight forward. Ive taken exams in the past that were worth 300 points, but thats the entire class grade. 3 exams, 100 points each, thats it. Mainly based on Essay Questions and 25 multiple choice. Avoid if you can. If you have to take this class just make sure you dont take it lightly.",1.0,4.0,R. Rogers Kobak
1,"Professor Kobak is very passionate about developmental psychology and it is evident in his lectures. His lectures are insanely boring. They seriously seem eternal, but he does not put his full slides online so it is good to go. Also he has clicker questions he uses for extra credit. If you don't read you will not get an A.",3.0,4.0,R. Rogers Kobak
2,"The classes were boring, the exams were impossible, and I struggled for my C.",2.5,4.0,R. Rogers Kobak
3,"This class shouldn't be as hard as it is made. Exams are confusing and a few questions were incomprehensible on each one. To make it worse, no specifics are given as to what will be on the exam, just how many questions from each chapter will be on it.  If you have the time to do every single reading you can do well, but you won't be able to cruise.",2.5,4.0,R. Rogers Kobak
4,"Dull, confusing, and vague. You will never know where the exam material is coming from. AVOID this professor...has no idea how a good psych class is taught. Easy B nothing more",3.5,4.0,R. Rogers Kobak
5,"AWFUL, BORING, puts you to sleep, tests are confusing",1.5,4.0,R. Rogers Kobak
6,"nice professor but the class gets really boring. uses powerpoints in class and there are 3 tests which constitute your whole grade. tests are pretty tricky, you need to study at least a couple nights in advance for them and even then you might still just get a B",3.5,4.0,R. Rogers Kobak
7,"Grade based off of 3 Multiple Choice tests (50 questions on each). No rounding or extra credit but its an interesting class. Dr. Kobak is a cool dude. If you're a psyc or human services major the tests will be obvious. Regardless, it's a totally fair class. Take it!",5.0,3.0,R. Rogers Kobak
8,Kobak is a really nice guy! Classes seem pointless but his test questions come directly form the powerpoint! Don't need the textbook at all but you have to study for the tests. Go to class and study the material and you will definitely get at least a B.,3.5,2.0,R. Rogers Kobak
9,"This professor is adorable, and really funny. There was a lot of reading for each class, and he uses slides and would put them online before class. He shows a lot of good movie clips. Only 3 tests all semester and they were all multiple choice. There was a lot of material to cover, but it was an interesting class.",5.0,3.0,R. Rogers Kobak
10,"Very nice guy. Very helpful during office hours. It wasn't totally necessary to read the book, but I would at least read the summaries. Some MC questions are directly from readings. The most difficult part of the tests were the essays, and he was usually quite explicit about his expectations for them when reviewing the material prior to the test.",4.5,2.0,R. Rogers Kobak
11,"Nice guy, fine teacher. Got bored and distracted every once in a while, but I still got an A. If you are good at Psych, you will do fine.",4.0,2.0,R. Rogers Kobak
12,"This class overall was a good experience. However your grade is based on 3 tests (all multiple choice). Even though he does posts power points he DOES NOT include all the slides given in class.  So it's smart to attend class.  Plus he gives questions that appear on the test and he doesn't post those either.  Overall, a good professor.",4.0,3.0,R. Rogers Kobak
13,"I thought that this was a good class. Helps if you have some interest in child development. No extra assignments or papers, just three exams. Fantastic if you don't want to have to do much work throughout the semester, bad if you don't take tests well. Essays count for a lot on the test so if you can write clearly, you'll probably do well.",4.0,3.0,R. Rogers Kobak
14,"Enjoyable class! Posts powerpoints, Attending class helps on exams.",4.0,3.0,R. Rogers Kobak
15,great guy. he means well. slides are great and he posts them online after classes. if you do go to classes he'll give you sample mutliple choice questions that actually appear on the exams. sometimes questions on exams are hard to understand though. definitely do the extra credit!,3.0,3.0,R. Rogers Kobak
16,Slides are all over the place. to study you need to read which is a pain because his notes jump from chapter 1 to 14 without even clarifying. doesnt help at all when asked. dont recommend taking him,2.5,4.0,R. Rogers Kobak
17,"Extremely long powerpoints but will e-mail slides to class after presentation. Nice man, however seems somewhat aloof as most of his slides are disorganized and directly from the text. Class is important for learning exam material, but can do well just by reading the book. Do the extra credit and read the material- it would be hard not to pass.",3.0,2.0,R. Rogers Kobak
18,"Kobak is a very friendly, light-hearted guy who knows his stuff. Plenty of short films to make class enjoyable. 3 tests plus 10 possible pt. extra credit. Do the extra credit, you're almost guarenteed perfect credit. A ""B"" is definitely attainable if you put in some effort. I recommend him.",4.0,3.0,R. Rogers Kobak
19,No Comments,3.0,3.0,R. Rogers Kobak
20,"Dr. Park is wonderful. He will use his prepared notes for teaching and after class he updates them too, so dont worry if you miss some parts in class. If you spend time reviewing all the homework and notes, its easy to get 90+ in his exams because problems are nearly the same. He also considers for partial credits in some exams. TAKE HIS CLASS!",5.0,2.0,Efton Park
21,He is one of the best professors I have had at TCU. Lectures are easy to understand. The materials definitely helps you a lot in practicing. He's hilarious and makes classes very relaxing. Just take him.,5.0,1.0,Efton Park
22,"Dr. Park explains the material very thoroughly and does plenty of example problems. If you show up to class and take notes, you shouldn't have a problem passing the class. His quizzes and tests are directly based off of in class example problems and homework. Do the work and show up and you'll get an A.",5.0,4.0,Efton Park
23,Park is the worst math teacher I have had a TCU. Made me feel discouraged and was arrogant when asking for help. Also forget about partial credit because you will get none.,1.0,4.0,Efton Park
24,"Park's tests are mostly from his notes but changes the problems a little. However, he is a INCREDIBLY tough grader. It is ridiculous how harsh he is when giving partial credit. Also his humor gets old quick. Rude in office hours too. AVOID HIM.",2.0,4.0,Efton Park
25,"Dr. Park is the best professor I have ever had for a class. He is very straight to the point and teaches things in a way that is easy to understand. He does give pop quizzes once a week, so study before each class a bit. But the pop quizzes are helpful because they are exactly like the tests.",5.0,3.0,Efton Park
26,"I love Efton Park! I took him for Discrete Math I and Graph Theory... Incredibly caring, funny, and smart guy. He's the reason I became a math major, went and got my masters in math, and now a college level instructor. Go to class (pop quizzes), you will learn some math and get a good laugh.",5.0,3.0,Efton Park
27,Great professor. Class is mainly him giving examples of problems exactly like test. He gives a lot of pop quizzes so you can't really miss class. His lectures are easy to understand and all homework is online. Tests are only 6-8 problems,5.0,2.0,Efton Park
28,One of the best professors I have had. Very fair and prepares you for the exams. Study over all hw and quizzes and you'll do fine on the exams.   He made the class so much more enjoyable,5.0,4.0,Efton Park
29,"Dr. Park is one of the best math professors I have had. His class is challenging but he is very helpful in office hours (holds a lot, too). Lectures are really funny too and you aren't bored in class. Exams are hard so make sure to study a lot for those and beware of random pop quizzes",5.0,4.0,Efton Park
30,"As long as you take notes and review you'll rock this class. He does give quizzes but there expected, the quizzes are the exact same as the test. Awesome class he's super funny, very clear and overall it was a good class. It does take some work but it's good!",4.5,3.0,Efton Park
31,Dr. Park was one of my favorite math teachers. I had to retake this class and did it over the summer. It was really simple as long as you study and do your homework. Expect daily quizzes if not weekly quizzes. But overall a great class. ,4.5,2.0,Efton Park
32,"Dr. Park is my favorite professor I've taken at TCU. His teaching style is very clear, and is always so helpful at his office hours! (Highly recommend going). If you do a lot of practice problems from the homework before the exams, you will do very well. He gives pop quizzes so study every day! (which will help come exam time!) Hilarious, too.",5.0,3.0,Efton Park
33,"I never thought that the funniest professor I would ever have would be a calculus professor, but Dr. Park proved me wrong.  He is an absolute riot.  As for the class, do the homework and make sure you do it right, that alone will prepare you for pop quizzes.  When studying for exams, go above and beyond lecture notes and homework- exams are hard.",5.0,4.0,Efton Park
34,dr. park is an amazing professor. his lectures are engaging. hw problems are very helpful. you can get them done in 30 minutes. you know the hw problems. you know the exam. very good teacher. not a hard A.,5.0,2.0,Efton Park
35,"Dr. Park is a great teacher. He explains all new concepts step-by-step. He might jump a few steps once you have moved beyond a basic understanding of the underlying concept he is teaching, but is always willing to explain all the bits and pieces if you ask. And his method is clear and I love his class! Calc 1...",5.0,3.0,Efton Park
