,text,quality,difficulty,prof_name
0,"worst prof ever, she was not willing to help students and didn't teach anything",1.0,5.0,Cyntha Struthers
1,4500 words report + 1.5 hr quiz for final. NEVER answer your question properly. Whatever you say is a complaint.,1.0,4.0,Cyntha Struthers
2,"She is the worst prof I've ever had. If you ask her a question, all she ever replies with is ""read the textbook"" which is also written very poorly. The Mobius quizzes are the literal definition of torture. It is timed 1h and you won't know how many questions there are (involves a lot of calculations as well). I don't understand why she is a prof.",1.0,5.0,Cyntha Struthers
3,"worst prof ever, doesn't want to help students, makes everything so difficult for students, stay away",1.0,4.0,Cyntha Struthers
4,"This is her response after she put up a misleading question in a quiz ""Not all facts you are given on a test (and life!) need to be asked in such a way that NO person will ever make a mistake. The onus is on the student to read the question well and think!"" (while in fact, almost everyone misunderstood the question and got wrong answer) What a joke",1.0,5.0,Cyntha Struthers
5,AVOID HER AT ALL COST!!!!!,1.0,5.0,Cyntha Struthers
6,"Worst professor ever. Her lecture videos are completely useless. I learned better through reading the course notes. Kept making mistakes in quizzes and penalize students for her own mistake. She has never ever admitted that she made a mistake, even when it's very obvious that the question had an incorrect solution or worded ambiguously. Avoid her!",1.0,3.0,Cyntha Struthers
7,"Very dismissive. Makes no effort to answer questions in detail. Very tough/unfair marking. Stubborn/unwilling to make accomodations to help students, even in difficult times like COVID. Uses same assignments each term, so no solutions are released and you can't know where you messed up. Interesting course, but she is not a good prof in my opinion.",1.0,3.0,Cyntha Struthers
8,"After reading the other reviews here, I think we can all agree on the fact that she's absolutely horrible at answering Piazza posts. She never actually answers your questions, she only dodges it, asking you to find the answer yourself (I wouldn't be asking you if I didn't need clarification!!) Lazy and very rude with her comments. One of the worst.",1.0,4.0,Cyntha Struthers
9,"I've never met a prof who specifies using a (TERRIBLE) template for submitting assignments and refuses to let students add/remove space after questions. There's not enough space and all she can say is ""you can format it to fit"". These are equations we're talking about, NOT a resume. Assignments are also not on the actual content ""taught"". Horrible.",1.0,4.0,Cyntha Struthers
10,"She is by far the most rude professor I've ever had when responding to questions and never answers the student properly, instead just telling them to read the textbook again. The content of the final assignment was entirely around coding in R when the there has been literally no content covering R until that point. An absolute embarrassment.",1.0,4.0,Cyntha Struthers
11,Tough grader. Rude. Stubborn.,1.0,2.0,Cyntha Struthers
12,Lets you write a cheat sheet and the exams were very similar to the practice exams. Taking this course with her online is a really hard to screw up.,4.0,3.0,Cyntha Struthers
13,She explains stuff very clearly and always willing to answer questions! Very engaging during lectures. Exams are fair!,5.0,3.0,Cyntha Struthers
14,Absolutely awful. Not helpful to students who approach and has the most terrible marking scheme. Avoid her class.,1.0,1.0,Cyntha Struthers
15,Stubborn and unaccommodating professor. Not willing to help students who approach her. Doesn't consider student feedback at all -- 0/10 would not recommend,1.0,1.0,Cyntha Struthers
16,"Extremely rude professor. Not very helpful to student responses, more often to just respond with a snark comment. Poor teaching skills, and course coordination skills. Doesn't listen to student feedback.",1.0,3.0,Cyntha Struthers
17,Dont know why she appears to be so mean on our marks: the lecture room is far from the other lecture buildings but she will always start the participation questions at the very beginning of the class? She doesn't consider if people would get injured on a slippery road when rushing from another classroom far from hers. Tends to give everyone lowmark,1.0,2.0,Cyntha Struthers
18,The meanest professor I have ever encountered at UW. Never put her feet into students' shoes!!! Switched out of her section after she mocked at me because I got one clicker question wrong!!!,1.0,3.0,Cyntha Struthers
19,"Extremely disappointed and upset with Cyntha's teaching/behaviour this term. Questions on tests are misleading, marking schemes are strict, and do not follow the nature of the question asked. Rude on class forums, over email, and in person. Extremely unprofessional, and makes people feel degraded with how sarcastic, unhelpful, and mean she is.",1.0,4.0,Cyntha Struthers
20,"I have taken about 6 classes with Professor Graham. While the material assigned is somewhat time consuming, the lectures are straightforward and Professor Graham is very good at responding to emails and providing help. I feel like he cares about his students and I'm sad that this is my last math class as I'd gladly take him again.",5.0,3.0,Micheal Graham
21,"Took it online. Was available, had everything ready on time and split it into digestible chunks. Took an online teaching course beforehand and it showed. Really tried hard to help us succeed in the pandemic. Hilarious dry humor.",5.0,3.0,Micheal Graham
22,"Professor Graham provided immediate feedback on homework and exams. Very well organized! There were almost daily webassign homework assignments, 11 or 12 written assignments, 4 exams and a final. This is a lot of work, but getting a poor score on one exam won't tank your grade. Note: this class was taken online during COVID lockdown",5.0,3.0,Micheal Graham
23,"I wish I didn't take the advice from people leaving reviews here. I do not care how good you think you are at math this guy was a rude awakening for me. It wasn't until I started skipping class and teaching it to myself did I improve. Marks you down for doing math problems ""in a way that is confusing"" to him even if you get the right answer. Run.",2.0,5.0,Micheal Graham
24,"You will never fall asleep in Graham's lectures. He keeps them very interesting and rarely goes on tangents. The course work was difficult as expected, but whatever you do, do not get behind on homework. All in all a great professor who loves what he does, answering questions, and has a deep understanding of math.",5.0,4.0,Micheal Graham
25,"Graham is awful. His quizzes are unscheduled and so much of the quiz material isnt taught before the quiz is given. The tests are worth way more than they should be. You can fall as many quizzes as you want and be fine, but if you do bad on one test you may as well kiss your grade goodbye unless you do amazing on everything else.",1.0,4.0,Micheal Graham
26,"Great teacher that runs a no BS class. Grades are calculated entirely off of tests/quizzes, which he will prepare you well for. Homework is optional, allowing you the freedom to let yourself fail if you don't take the class seriously and practice, but also allows for more flexibility in your studies. Your grade will be a reflection of your effort",4.0,3.0,Micheal Graham
27,"He gives a lot of tests, non mandatory homeworks and is a tough grader but he is a great teacher and is always willing to work with you",5.0,5.0,Micheal Graham
28,"Graham should never be able to teach a college class again. If you want your GPA to get bent over then take his class. If you want someone who just expects you to learn everything on your own then take Graham, everyone I talked to from my class was also failing all quarter long. Terrible lectures and he has 0 care about your effort for your GPA.",1.0,5.0,Micheal Graham
29,"He was so bad I had to drop his class. Grades quizzes and exams only, assigns homework, but wont grade it so it cant help offset a bad exam. He is nice, but his lectures are confusing to the point it looks like he has never taught. I talked to ex-peers and they all told me he is pretty bad and were at major risk for not passing.",1.0,5.0,Micheal Graham
