sentiment,text,quality,difficulty,prof_name
1,No Comments,5.0,3.0,Janet Rowell
0,AVOID AT ALL COSTS.  Ms. Bridges was one of the least effective teachers that I have ever had.  She often times makes problems way more confusing than they really are because she doesn't understand the material.  Those who did well in the class had previously taken calculus.  Her tests are really tough unless you understand all the concepts.,1.5,5.0,Faith Bridges
1,I had to retake this class and this professor made it very easy for the class to pass because he provides sample exams that are just like the exams. I regret not taking him the first time I took this class. He is better than any other.,4.0,2.0,Nikolas Kidonakis
1,"The biggest problem is that Dr. Dewald expects an enormous amount of reading and effort for a gened class. Some people say you can don't need to read but you really do. On his tests you have to correctly identify quotes and write an essay. The first two test are easy, but the final you actually need to read to do well. DO NOT TAKE IF YOU CAN CHOOSE",3.0,4.0,Jonathan Dewald
1,"I took her online class this past semester. Lots of forum posts in the online class, but helps you understand the short stories and poems. The class greatly improved my writing.",4.0,3.0,Melanie Schnell
1,"Ok boys and girls, welcome to college. Shapero's ENF and 111 classes are decent; however, her 112 class is tough. A lot of reading and writing. She's very loving and caring even though it may not seem at times. Shapero is about good writing,""period."" No easy A's. I worked my butt off for an A. She's not big on due dates, and doesn't use book.",4.5,3.0,Sylvie Shapero
0,"So I liked the course content even though there'too much reading. Good news! Pop quizzes aren't hard at all. Professor A looked unapproachable and she was sometimes harsh with students. I don't recommend this class, the content was great! but the vibe was just not right.",1.0,3.0,Andrea Tone
1,I took anthropology 100 fall quarter. The class was a bit long but it also wasn't everyday. I believe the time spanned over 2 hrs. He is a very interesting guy who always seems to be happy and excited to teach. Material was very interesting but like I said it was hard to continuously pay attention because the class was so long not because of him.,5.0,1.0,David Holliway
1,"I love the way Ms. Sexton teaches! I wish I could have her for every class that I take.  She is very understanding that you have a life, and that things happen.  She's also very inspirational and cares about you as more than just another student! Love, love, love her!",5.0,2.0,Treva Sexton
0,"Stay away from this class!!! He expects you to be a genius and teaches the class like we're PhD students. Like bro, how do you expect me to prove all of calculus in a one hour test?!?!?",1.0,5.0,Blake Temple
1,DIFFICULT class but great professor!!! Really cares about students and always willing to stay late to help u understand material.,5.0,4.0,Laura Gershuni
1,The class is very easy if you buy the textbook and follow the powerpoints. She does a good job explaining the material but kids don't pay attention because she is kinda boring. But she gives a lot of extra credit on each test - a 70% or higher was a A. If you put in a little effort and pay attention you will do fine,3.0,2.0,Carolin Schellhorn
1,"Great professor! Super nice, intelligent, & sexy! Quizzes are easy, projects are straight forward, and simulations were fun. I love to hear him lecture.",5.0,1.0,Richard Tapia
1,"Professor Fazelpour loves to be redundant about the less-important stuff. He will also tell you to write down notes that you already have. He does not use BlackBoard and does not, from my experience, respond to emails. The class is easy and important but I feel he could teach much more effectively.",3.0,2.0,Alireza Fazelpour
0,"Do yourself a favor: don't take this class. If you need honors credit, take psychology. He is so bad that he told us that ratemyprofessor is full of students that failed the class and are illiterate. I obviously didn't fail and he was bad enough that I needed to let anyone that is considering his class know that they need to reconsider.",1.0,5.0,Lee Maril
1,Production named The Loop,5.0,2.0,Stefanie Sertich
1,"Good teaching style, difficult to take the information she teaches and apply to tests without doing 300+ pages of reading.",3.0,4.0,Brenda Lays
1,"Dr. Xing was so helpful and patient in teaching us in Orgo 2. When everything had to be quickly switched to online, she did an amazing job. You can tell how passionate she is about organic chemistry. Also, she really cares about her students and wants them to do well. I was so lucky to have her.",5.0,4.0,Yalan Xing
