sentiment,text,quality,difficulty,prof_name
0,"She seems like a smart professor but just cant convey her thoughts across. I try so hard to understand but the language barrier is tough. She tries her best to make sure we understand but doesn't really help much, rather confuses more! tests are very ""unique"" as well!",1.5,3.0,Wei Xing
1,"I took 3d Design with him. A genuine guy that loves what he does. Just don't take this class expecting an easy A. His projects make you think analytically and critically, and when it comes time for his infamous critiques, be prepared for criticism. He gives plenty of class time to develop your ideas and is always ready to help if you need him.",5.0,3.0,Benjamin Bellas
1,"I took her for Writing for PR. very sweet, wants students to do well.  very approachable and friendly. class was a lot of work at first. Multiple assignments, and current event and GSP quizzes every class. quizzes were hard so later on she started letting us use the articles. She goes with the flow, but her expectations can be unclear at times.",3.5,4.0,Olga Wilson
1,"Good teacher, she is knowledgeable, professional, approachable  and kind in her words to students. Take her class you will be well prepared for your life's journey. One of the best at Humber College.",4.0,3.0,Shauna Pemberton
1,"Christina is a funny and wonderful person, dont be intimidated by the bad reviews. Christina is very friendly and the classroom environment is relaxed. Due dates for assignments change a lot based on how she thinks how far everyone is. If u r a visual learner it might be harder for u b/c she doesn't show examples of upcoming projects so TAKE NOTES",5.0,4.0,Christina Gregor
1,Very easy and straightforward instructor. You can show up and pass. She has a lot of in class writings but if you miss those she has so much extra credit it is impossible not to pass the class. Textbook online. Weekly journals. EASY Final project. Class was boring though. I just needed the WI credit. Recommend her to anyone needing an easy class.,3.0,1.0,Kathy Backus
1,Class was easy and good introduction class to geography. Her lectures had some interesting things that arent found in the textbook and overall the class was easy and she was very understanding when it came to distant learning.,5.0,2.0,Laura Pangallozzi
0,EXTREMELY DIFFICULT. Rude and unprofessional. If you don't already basically have a masters degree in physics he is going to make you feel stupid. Doesn't care about his students or their comprehension of the material.,1.0,5.0,Phillip Bannow
1,"I think she was my favorite instructor this semester. She provides examples of each dysfluency during lecture, and she makes it VERY interesting. Her first test is probably the most difficult out of all of them, and it isn't even that hard. She definitely wants to see you succeed, and helps you as much as she possibly can!",5.0,1.0,Ericka Olsen
1,"Lazo- Cividanes is a very well informed professor that delight us with his lectures, specially in the Latin American context where I can qualified him as an expert. What I like about him is the way he has help me in the development of my research paper, a paper I have been working since the start of the semester.",5.0,3.0,Jorge Cividanes
1,"Clearly a very intelligent and capable professor, but he expects a lot. 6 week summer course and there were 3 novels and textbook reading, plus 4 discussion assignments, lots of audio lectures, an essay, reading quiz, and 2 writing heavy tests. Really brutal for a lower division course. If you work a lot, this is even more of a struggle.",3.0,4.0,David Sheridan
1,I never write reviews but THIS MAN IS ACTUALLY AN ANGEL. I have never in my life loved a professor as much as Kole Camaj. Hes a gift from God and truly makes me excited for class. I would cut off all my limbs to take this professor again because he is that incredible. He is my favorite professor ive ever had in my life and I would die for this man,5.0,1.0,Kole Camaj
1,"Mr. November gave awesome feedback (but was more vague on the major assignment gradings.) Group workshops were helpful bc you get feedback from other people. HW instructions were sometimes confusing, but for the most part, the class was easy. It's creative writing, so you can't be graded on your art/creativity. Textbook needed, not many e.c..",5.0,2.0,Greg November
1,"Espo is one of my favorite teachers I've ever had, at first he seemed terrifying, but he's truly a funny and nice guy. His class has taught me a lot and we always have meaningful discussions. He's very passionate about what he teaches. Assigns 1 paper a week but they aren't too hard and are usually 1-2 pages. Really improved my writing. ",4.0,3.0,Stephen Esposito
0,This was by far the hardest class I have taken. All of his work is close together. The good thing is he realizes that and works with you on the time frame. Be prepared to STUDY!!! He does not allow enough time for quizzes and exams and they are extremely difficult!,2.5,4.0,Christopher Wayne Purser
0,"I don't like thw fact that he uses a website through a website for the class just stick to one. The subscription for the second website is not free and students must pay for it on their own. I have not struggled to figure out what was going on using the canvas website until this class, every other class was clear and straight forward.",2.0,3.0,Peter Knapp
1,great professor. tests aren't easy but you'll learn a lot from the class,5.0,4.0,Jill Miller
1,"I took his online class and it was great. I recommend listening to his lectures, writing notes, and memorizing pictures...that's all and you should get an easy A/B. I will warn you that his lectures are boring, especially since I have a short attention span, but don't worry..you can always fast forward to the important parts but dont do it too much",5.0,1.0,Alton Jenkins
1,"Very good prof.  Not an easy class, nor should it be; must think very critically and express it in your writing.  I worked hard and it paid off.  I'd recommend her.",4.0,5.0,Paula Wisotzki
1,"New, but willing to learn.  Enthusiastic, and approachable.",4.0,4.0,Jill Miller
0,This class sucks. don't take it. you will regret it.,1.0,4.0,Dan Clawson
0,"All I can say about Professor Thompson is lazy, save yourself time energy and aggravation and take a different class.",1.0,3.0,Andrew Thompson
1,Absolutely brilliant educator. She was very simple to understand.,5.0,5.0,Janice Crowley
0,"Was not very helpful, made me not enjoy sign language as I enjoyed it very much for 1010. She will call people out in front of the class and has a very short temper and extremely inpatient. Not the best teacher for trying to learn a new language, as she expects you to know almost every sign there is.",1.0,4.0,Celia Young
0,This class is so hard. I know its online but you really have to teach yourself EVERYTHING. The weekly homeworks have nothing to do with weekly tests and either have anything to do with the midterms. She curves the midterms. She uses an app called Piazza for extra credit where you can ask your classmates questions,2.0,4.0,Laetitia Placido
1,"Thad is probably the best teacher ive ever had. He makes hard concepts relatable to things in your own life which made bio 21 an extremely beneficial and pleasant experience. Nicest teacher ive ever had, all around just a genuine guy. would definitely recommend this professor!",5.0,5.0,Thad Winzenz
