,text,quality,difficulty,prof_name
0,Didn't have a great experience with Prof Watts. He grades pretty tough as I would try my best but never could get anything over a B. The compositions and oral exams were graded in a way that you cannot make mistakes if you want an A. Nothing we did furthered my learning in the class. Waits months to put grades into BB & isn't good at emails.,2.0,4.0,Keith Watts
1,Hes a VERY nice man. However hes unclear about his expectations and was very unorganized during class. Being a Spanish major who will be studying in Spain for a semester I am looking for a class that will challenge my Spanish skills and this class did not do so at all. I feel as if I learned very little from this class. I will NOT take him again.,1.5,2.0,Keith Watts
2,"He is very unclear with assignments and homework and not always organized, the homework rarely went along with the class. He is VERY picky with grading and expects your essays to be perfect. He knows the language extremely well but gets easily distracted and its hard to learn much in this class",2.0,3.0,Keith Watts
3,Tough grader and is unclear on weekly assignments for what is due and when its due. Can take 24+ hours for a response. Shes sent up to 5+ emails at a time for changing assignments around. Can be very sarcastic and not very forgiving on homework. You need to be in contact with her often through email and in class if you want to do well.,2.0,5.0,Charlotte Vanderhoning
4,"Really disorganized, and really hard to understand what her expectations are in lab. She makes no sense. Basically winged her whole class because no one knew what we were expected. She's funny though, she has very dry humor so unless you don't like that then probably don't take her. I'm surprised I passed.",1.0,5.0,Charlotte Vanderhoning
5,"So, this professor is the worst professor I have ever had! Unclear expectations, horrible grader, unprofessional, and never responds to emails. I have an A in organic chemistry lab and a A- in an upper level physics lab, but I almost get a B- in her lab? She is an extremely poor professor, change class if you can!",1.0,5.0,Charlotte Vanderhoning
6,"So, I find myself to be a good student, and I did get an A in this class, but barely. I would email her about an assignment a week before it was due and wouldn't hear back until the day before or even the day of. She also didn't explain things at all and just expected us to know it. Definitely find a study group!",2.0,4.0,Charlotte Vanderhoning
7,"Char could be pretty vague on what she wanted, not good with technology either. Make sure you completely follow the graph rules posted on her syllabus. You can turn a lab in early and make corrections before its due which is nice. Some prelab quizzes were annoying but manageable. I think ppl reported her bc she was suddenly nice at the end.",2.0,2.0,Charlotte Vanderhoning
8,"AVOID AT ALL COSTS. She would tell me there was no need to do certain parts of a lab and I would ask two or three times to make sure I did not have to do them, then after I turned it in, she marked me down for that very thing. She is extremely rude and called out students in front of everyone if they were doing the lab wrong.",1.0,5.0,Charlotte Vanderhoning
9,"I went to her office hours, asked a valid question, and then laughed at me in front of my classmates. The class itself isn't hard, the issue is her. I can't tell you how many times I've woken up on a Sunday morning to an email saying we have a pre-lab quiz due that night. I would call myself a very capable person, but Vanderhoning makes 0 sense.",1.0,4.0,Charlotte Vanderhoning
10,"She gives zero directions and everyone was completely lost throughout the semester, hardest grader ever, she will tell you she wants something down a particular way, but when you give her what she wants, there is always something wrong with it.",1.0,4.0,Charlotte Vanderhoning
11,This professor is very unclear when it comes to questions that are being asked. She never sticks to the same answer and is super hard to get a hold of outside of class. She never answers your emails and if she does it is with 2 words or less. I would not take her again and if you take her for lab prepare for it to be completely independent.,1.0,3.0,Charlotte Vanderhoning
12,"I am in in her Biology 120 lab. This professor is unreliable and uncommunicative. She also does not answer your question when you email her, and if she does its 2 word answers. I would not take her class if possible.",1.0,4.0,Charlotte Vanderhoning
13,"DO NOT TAKE. Explanations for labs/assignments are very poor. VERY rude when you ask for help or clarification. Did an assignment w/ her, had her check, said it was 100%, turned it in the next class, got half the credit. Doesn't know what she is doing! Lost the entire class's graphs and we all got 0's for a lab. Keep track of your own grade!!",1.0,3.0,Charlotte Vanderhoning
14,"You don't want Char for BIO lab. She's constantly unclear in her communication, difficult to get ahold of, and assignments are confusing. She's snarky and will call you out and be directly rude to you with no rationale. If you sit in the front of her class and laugh at her dry humor, you can get on her side a little. Overall do not recommend.",1.0,2.0,Charlotte Vanderhoning
15,"avoid at all costs. char is a nice person but she is never available outside of class, NEVER emails you back(if she does its a one word response, 3 days later), and doesn't really know what she's doing it seems. when you ask for help she acts like youre dumb for even asking and she is not very clear on directions or homework criteria. AVOID AVOID!!",1.0,3.0,Charlotte Vanderhoning
16,"Worst professor ever. Avoid at all costs. She is soooo unclear with grading criteria and graded very tough. Our lab group asked a ton of questions so that we would get things right, but she always changes her mind about what she wants from you so asking questions doesn't help. Makes a ton of mistakes and thinks it's cute or funny. Extremely unclear",1.0,4.0,Charlotte Vanderhoning
17,Char has a very dry sense of humor and sometimes is frustrating to work with but if you just keep asking her a question she will eventually answer it. Lab is easy and just do your work. Most work is done is groups too.,2.0,2.0,Charlotte Vanderhoning
18,awful.,1.0,4.0,Charlotte Vanderhoning
19,"I would not recommend Char to any BIO 120 student. She does not explain the labs well and you are left to figure it out amongst yourselves. Not approachable. SUPER tough grader on graphs and reports. She does not respond to emails, if she does, they are confusing and/or one-worded. Search for another lab professor!",2.0,4.0,Charlotte Vanderhoning
20,"I had her for lab. She is overly difficult. Her grading is INSANE. She is sometimes a bit rude to students; she is definitely not a professor who would say ""There's no such thing as a stupid question."" She at least has a good sense of humor. I would avoid taking her if possible.",2.0,4.0,Charlotte Vanderhoning
21,"She is the most unorganized teacher. Unclear. Unspecific. Late. Does not give a flock about students. She doesn't know that we are in a pandemic. She goes off tangent on her lecture which is fun and all, but it does not help you with your exams. Midterms are 2 hours long and overlaps other classes. It's a 4 page essay with citations.",1.0,5.0,Linda McCroskey
22,Im not one to come on here and give reviews but this class was an exception. Mccroskey is not clear with her instructions on her final paper and her tests are ridiculous. Our exam grade average is horrible and it seemed near impossible to do well on her tests. Im not a fan of the way she teaches and all she ever does is show 40 slides each class.,2.0,4.0,Linda McCroskey
23,"If there is any way, you can avoid taking her class, do yourself a favor, and do so. She is a great person, but she needs to improve her teaching style because online teaching is not working at all. She is very unorganized, and you will be wondering when are the due dates for assignments and test all semester.",2.0,4.0,Linda McCroskey
24,"REGRET taking this class. Yes, she gives EC but that is because she knows a large chunk of her class will fail without it. The quizzes and tests are worded tricky and even if you study, do the review and read, her test questions aren't clear.",2.0,5.0,Linda McCroskey
25,"Dr. Brower is ok in class, lectures are somewhat solid. HOWEVER, and a BIG HOWEVER is his grading system and his tests. They are both incompetent. He writes a disclaimer in the syllabus in which he decides to change anything when he wants to. DO NOT TAKE HIM, GPA KILLER. HE SAYS HE TRIES TO HELP STUDENTS, BUT HE ONLY HURTS THEM...",1.0,5.0,Shane Brower
26,Tests are impossible...he tells you to review homework problems but the questions on the exams are much harder and never relate.  I studied for weeks for a test and failed miserably.  And then there's lecture...  He's unable to teach the topic to students who only take his class because it's required for their major.  Avoid his class at all costs.,2.0,5.0,Shane Brower
27,His tests are aweful. He likes to screw people over. There is no need for a premed physics to be that hard. He will make your life suck. Switch to straight bio or biochem and take another physics. SERIOUSLY. Atleast 5 pre med kids drop out every year and they are good students.,1.0,5.0,Shane Brower
28,"He seems like a nice guy but he was not willing to work with me and offer me extra credit, he grades the critique way too harshly & took off several points for things that were irrelevant. he never gave a clear structure for the critique. this class is an easy A BUT if you ever have anything going on in your personal life dont expect him to care.",1.0,2.0,Morris Nelms
29,dont take!!,1.0,5.0,Sheila Hancock
30,She is nice n helpful.   Not much stress.  Class is easily than any other classes.                                                                                                                                                That's it.                                                                                                        Yeeeeeee,2.0,4.0,Sheila Hancock
31,Don't take English with her if English is not your strong subject.,2.0,5.0,Sheila Hancock
32,No Comments,1.0,3.0,Kevin Drinkwalter
33,No Comments,1.0,3.0,Kevin Drinkwalter
34,No Comments,2.0,4.0,Kevin Drinkwalter
35,"Sucked at teaching physics. Lectures only covered conceptual material, tests contained at max 1-2 conceptual problems. Final was really hard for 6B, like unreasonably hard. Had him for the entire physics series-- would not do again if I could",2.0,4.0,Robert Geller
36,Terrible Lecturer. Grading was fair. From 1-10 in difficulty examples given in class are a 1 and test questions are a 10,1.0,5.0,Robert Geller
37,We had 12 Quizzes and 7 Mid-Terms in the class. His lectures are him doing 1/2 of a problem and then your homework is to finish the problem and then another 10-11 problems. No way to study for quizzes. If you like teaching yourself on a subject that can't be found on youtube? This class is for you!,1.0,5.0,William Feldman
38,"This guy can't teach worth crap. If I learned anything in this class it was from the TA, because Dr. Feldman managed to make the most simple concepts extremely difficult to understand. He also has some sort of anxiety disorder. He was always on-edge and his mannerisms were super distracting. If you struggle with math, do not take this professor.",1.0,5.0,William Feldman
39,"I learned more from my classmates and my TA than Feldman. Very sporadic with his work, did problems wrong on the white board and had to erase it all and start over. I had a 100 on homework assignment, an 82% for quizzes, and didnt do well on the tests. Very test heavy. Didnt respond to emails within a day, sometimes never responded at all.",1.0,4.0,William Feldman
40,"Funny guy, but very hard to follow. A lot of homework, quizzes and 4 exams.. Have not learned anything from him, had to find everything on my own.",1.0,4.0,William Feldman
41,Dr. Feldman makes more mistakes in a single lecture than I do on an entire homework assignment,2.0,4.0,William Feldman
42,"I never took this dude, but he wrote our class final. He gave us his old tests to ""prepare"" for it (without solutions) and there was only one or two questions that were similar.  The stuff on our final was NEVER covered in our class, MLP, or on our quizzes/tests. Kind of an D-head move to make someone else's final impossible to prepare for...",2.0,5.0,William Feldman
43,"I liked Dr. Feldman's humble personality and jokes, but his notes on the whiteboard were mixed up and sloppy. He threatened to grade the whole test if I wanted the point. After emailing him about Greens/Stokes/Divergence Theorems/normal vectors on last day, he said only said he discussed it in class. I never skipped class; He could have answered it",2.0,2.0,William Feldman
44,"Dr. Feldman obviously knows a lot about calculus, but is maybe the worst teacher i've had at the university. He screws up a lot on basic algebra to the point where he'll write the wrong stuff on the board and not notice, acting like it's calculus gospel. This messed a lot of people up for finals because we had different notes over the same stuff.",2.0,3.0,William Feldman
45,He dives straight into talking when the lecture start which wouldn't be a bad thing if he was what he was talking about before be started. It was hard to follow along or take him seriously because he used an umbrella and a pumpkin to explain things in 3-D. If you are fine with basically teaching yourself he is a good professor for you.,2.0,3.0,William Feldman
46,"The word I'd choose to describe this professor is 'rough.' I had such a hard time learning from him in class and in office hours. He doesn't connect to people well and doesn't try to teach things in different ways. If you have him, read the book and good luck.",1.0,4.0,David Anderson
47,Worst teacher ever. does not teach or help you. highly recommend a different teacher,1.0,5.0,David Anderson
48,"Good person, nice, accessible, a man of intelligence and ehthusiasm. However, Intro to economy is really not suitable for him to teach. so many reading without any specific instruction. Always looking for your visit during office hour, which is good, but often I don't have questions because I do not really understand what we are learning.",2.0,4.0,David Anderson
49,"He's knowledgeable, but doesn't communicate what he wants in the class effectively. I felt as if I was spending more time trying to figure out what he expected rather than actually learning the material. Only employs lectures, homework, and two exams. If you mess up one aspect, it'll be hard to catch up",1.0,3.0,David Anderson
50,He is not a good teacher of econ 110 . im sure his higher level courses are more interesting but he tries to get people to decide against being an econ major so that so many people are not in the econ program. department chair. wants to route out people who are not great at econ,1.5,5.0,David Anderson
51,"His expectations are not clear. Comments on papers suggest he didn't bother to read them, when he gives feedback. His spelling and grammar is horrible, yet he expects perfection from his students. Disappointing. I learned a lot, but not thanks to him- I did the work and did extra research, which ended up being rewarding anyway.",1.5,5.0,Paul Majkut
52,"Topic was very interesting but all his lecture notes were directly cut from wikipedia - for a grad level course??  Seemed lenient with weekly grades but never received any feedback on final paper.  Very cryptic in his emails.  My grade dropped severely and with no explanation in the last week, when he finally got around to grading.  Be wary.",1.0,4.0,Paul Majkut
