,text,quality,difficulty,prof_name
0,"Tests and quizzes were only about quotes--not anything you actually learned. Quotes matter, yeah, but they don't tell you about anything you learned. So basically, you're memorizing nothing. Lots of reading and the textbook was hard and terrible. Long, old English, boring even for Philosophy majors. It was also an 8:30, two hour lecture. THE WORST.",2.0,4.0,Brian Stratton
1,"Worst teacher at alma. Lots of pointless discussions, pointless lectures, and pointless reading.",1.0,2.0,Brian Stratton
2,Worst teacher at Alma I have had. Boring! How did he get a doctorate in anything unless it was a subject for the stupidest people in college? Tests and quizzes are either too easy or too hard. He is here for the money not for students.,1.0,5.0,Brian Stratton
3,The most unlikeable person I have ever met. No one in the class could stand him. His wife is nice but he has no good qualities. Maybe the college could give him some kind of job where he never has to be around people. Avoid his classes.,1.0,5.0,Brian Stratton
4,"This guy is sort of full of himself. I think he tries to play it off like he is this really humble guy, but then he turns around and subtly talks about all the great things he's done. As for the class, we never stuck to the syllabus, and he loved trying to be controversial, only problem was nobody in our class ever took the bait. Wouldn't recommend",1.5,3.0,Brian Stratton
5,No Comments,1.0,5.0,Brian Stratton
6,"Literally THE ONLY class I didnt get an A in my first semester!! Heinrich is a little intimidating and often runs off on a lot of tangents. You never completely finish a lesson and youre expected to read two 30+ page chapters every week. The online quizzes are easy, but they dont help much if you do not do well on the midterm and final. WORST",2.0,5.0,Thomas Heinrich
7,The class is pretty light except for the midterms and finals. He treats the class like a 4000 level course. BARUCH IS A BUSINESS SCHOOL he treats it like we are history majors. You gotta prepare for 10 essays just to write a random 1 in class which is graded very very harshly. I would never take his class though he is a nice guy.,2.0,4.0,Thomas Heinrich
8,"took the midterm did not get results until 4 weeks after, he doesn't grade the test. We take online quizzes which are easy at the time of the test he picks 20 out 100 questions from online quiz plus you have to write a 6 page in class essay for midterm/final he gives us 10 questions to prepare for but only 3 show up don't take unless u like history",1.0,5.0,Thomas Heinrich
9,"get ready to teach yourself, because she is sooo bad at teaching. She gives quizzes and tests literally every day, but barely explains anything. I do not recommend her class",2.0,4.0,Christie Heinrich
10,"DO NOT TAKE THIS PROFESSOR. when you are confused she tells you not to worry about it you will get it the next class. She goes really fast while she is teaching. quizzes every day for attendance. pre-quizzes every Sunday, and homework every single day. Highly do not recommend it. 1/10 and that is being generous.",1.0,4.0,Christie Heinrich
11,QUIZES every morning for attendance. Doesnt look at online homework and she will tell you to not study certain thing and wont teach it but the online hw requires it,1.0,5.0,Christie Heinrich
12,She barely writes the question on the board and works through it she tries to just verbally explain it to you.,1.0,5.0,Christie Heinrich
