sentiment,text,quality,difficulty,prof_name
,No Comments,5.0,3.0,Janet Rowell
,AVOID AT ALL COSTS.  Ms. Bridges was one of the least effective teachers that I have ever had.  She often times makes problems way more confusing than they really are because she doesn't understand the material.  Those who did well in the class had previously taken calculus.  Her tests are really tough unless you understand all the concepts.,1.5,5.0,Faith Bridges
,I had to retake this class and this professor made it very easy for the class to pass because he provides sample exams that are just like the exams. I regret not taking him the first time I took this class. He is better than any other.,4.0,2.0,Nikolas Kidonakis
,"The biggest problem is that Dr. Dewald expects an enormous amount of reading and effort for a gened class. Some people say you can don't need to read but you really do. On his tests you have to correctly identify quotes and write an essay. The first two test are easy, but the final you actually need to read to do well. DO NOT TAKE IF YOU CAN CHOOSE",3.0,4.0,Jonathan Dewald
,"I took her online class this past semester. Lots of forum posts in the online class, but helps you understand the short stories and poems. The class greatly improved my writing.",4.0,3.0,Melanie Schnell
,"Ok boys and girls, welcome to college. Shapero's ENF and 111 classes are decent; however, her 112 class is tough. A lot of reading and writing. She's very loving and caring even though it may not seem at times. Shapero is about good writing,""period."" No easy A's. I worked my butt off for an A. She's not big on due dates, and doesn't use book.",4.5,3.0,Sylvie Shapero
,"So I liked the course content even though there'too much reading. Good news! Pop quizzes aren't hard at all. Professor A looked unapproachable and she was sometimes harsh with students. I don't recommend this class, the content was great! but the vibe was just not right.",1.0,3.0,Andrea Tone
,I took anthropology 100 fall quarter. The class was a bit long but it also wasn't everyday. I believe the time spanned over 2 hrs. He is a very interesting guy who always seems to be happy and excited to teach. Material was very interesting but like I said it was hard to continuously pay attention because the class was so long not because of him.,5.0,1.0,David Holliway
,"I love the way Ms. Sexton teaches! I wish I could have her for every class that I take.  She is very understanding that you have a life, and that things happen.  She's also very inspirational and cares about you as more than just another student! Love, love, love her!",5.0,2.0,Treva Sexton
,"Stay away from this class!!! He expects you to be a genius and teaches the class like we're PhD students. Like bro, how do you expect me to prove all of calculus in a one hour test?!?!?",1.0,5.0,Blake Temple
,DIFFICULT class but great professor!!! Really cares about students and always willing to stay late to help u understand material.,5.0,4.0,Laura Gershuni
,The class is very easy if you buy the textbook and follow the powerpoints. She does a good job explaining the material but kids don't pay attention because she is kinda boring. But she gives a lot of extra credit on each test - a 70% or higher was a A. If you put in a little effort and pay attention you will do fine,3.0,2.0,Carolin Schellhorn
,"Great professor! Super nice, intelligent, & sexy! Quizzes are easy, projects are straight forward, and simulations were fun. I love to hear him lecture.",5.0,1.0,Richard Tapia
,"Professor Fazelpour loves to be redundant about the less-important stuff. He will also tell you to write down notes that you already have. He does not use BlackBoard and does not, from my experience, respond to emails. The class is easy and important but I feel he could teach much more effectively.",3.0,2.0,Alireza Fazelpour
,"Do yourself a favor: don't take this class. If you need honors credit, take psychology. He is so bad that he told us that ratemyprofessor is full of students that failed the class and are illiterate. I obviously didn't fail and he was bad enough that I needed to let anyone that is considering his class know that they need to reconsider.",1.0,5.0,Lee Maril
,Production named The Loop,5.0,2.0,Stefanie Sertich
,"Good teaching style, difficult to take the information she teaches and apply to tests without doing 300+ pages of reading.",3.0,4.0,Brenda Lays
,"Dr. Xing was so helpful and patient in teaching us in Orgo 2. When everything had to be quickly switched to online, she did an amazing job. You can tell how passionate she is about organic chemistry. Also, she really cares about her students and wants them to do well. I was so lucky to have her.",5.0,4.0,Yalan Xing
,"She is a great professor! She is an example of a great woman, very fashionable, very upbeat, enthusiastic lady! More than a teacher, she became a mentor! Thank You, Dr. Hess",5.0,1.0,Josefina Hess
,"He's really good, and I was able to follow the formulas really well. I really liked the class! He's an easy going teacher and would have a few laughs in them.",4.5,1.0,James West
,"Professor Lowi is an amazing professor. She really cares about her students and is very interested in their opinions. She is very learned about the Middle East and this is what makes her class so interesting. However, she assigns a LOT of readings and is a VERY hard grader.",3.5,4.0,Miriam Lowi
,She gives an unnecessary amount of homework and takes forever to grade it. I always dreaded going to her class but she did cancel quite often.,2.0,2.0,Melissa Murata
,"There's no structure to her class. Classes are like coffee shop, feminist book discussions. There's nothing probing your thoughts. It really just feels like I was part of a big book club. If that's your thing go for it.",2.0,2.0,Kristy Odelius
,"She's a great professor. Grade relies heavily on participation in class. Some online reading modules required, but you have all semester to do them. One individual essay, one group project that takes up a good portion of the semester, and a group essay for that project. She gives individual grades so don't worry if your partner isn't great.",4.0,3.0,Lisa Michals
,"Great Professor! I took her for the Summer Pre-calc term Online and it was so easy. Hw, quizzes, and tests are all done on MyMathLab. She lets you use one notecard on the Midterm, and two notecards on the Final which is really helpful because you can jot down notes/formulas. Responds to emails really quickly and is there for you if you need her.",5.0,2.0,Wendy E. Bush
,"Mr. Carson is hands down a great professor. He genuinely cares about his students and their well-beings. There are a couple of group projects and papers to write, but nothing too major. All grades are averaged together, nothing is weighted. I've taken him for ENGL 1101 and 1102 and I wish I could take him again.",5.0,2.0,Alfred Carson
,Lots of readings. One of the worst professors I've had at AU. While the readings are interesting there is no deep discussion and you don't get helpful feedback. ,1.5,5.0,Jocelyn McCarthy
,"Professor Brown is one of my favorite teachers I have had at U of O. He was helpful, engaged in class discussion, encouraged creative thinking, exposed us to a variety of ideas and opinions, and somehow made our class feel like a giant family at the end of ten weeks. He was amazing, I would recommend him to anyone who wants to grow as a person.",5.0,3.0,Kirby Brown
,I really enjoyed this class! A lot of information was provide and we explored a variety of techniques.,5.0,1.0,Joe Micallef
,"Shes an amazing teacher, she knows how to answer any questions clearly for you to understand it. Shes great with explaining the concept if you get confused. She always lets you know if there is any difficulty in D2L. Please take her, if you want a GOOD grade, she is the one!!!",5.0,1.0,Holly Clark
,Fantastic!,5.0,1.0,Peter Wejksnora
,Great teacher. Will be taking for micro this spring 2020 semester,5.0,3.0,Kara Booth
,"professor goldner is great, he knows his material well. books he posts are required so make sure to get the. drops lowest grade from response papers which helps a lot. very well organized class. his office hours are very helpful. definitely recommend!",5.0,4.0,Erik Goldner
