text,label
"Doesn't pull any punches. He is honest in his review of speeches. He airs some of his opinions, and though I disagree, he made me laugh. I've become a MUCH better speaker thanks to this class. Easy at the beginning, gets progressively harder. Gave a take home test the first day of class, to turn in at the end. Doesn't talk about the book in class.",1
"If you want to be successful in her class, you get to do good on homework and tests. She does give a lot of homework, but compare to my old professor that I already dropped is nothing. You get to do good on homework because she'll take point off if you get the wrong answers. Extra credits on test review sheet. I 100% will take her class again.",1
"Prof. Lang made our 8 pm Earth Science class interesting. He tells a lot of jokes to keep the class woke, alert, and entertained. This ""boring"" class was actually great. He's a great professor. He does everything to help his students earn an A in his class. If you didn't get at least an A- you didn't utilize all the opportunities he made available.",1
Don is an absolute beauty. Goes over lots of practice problems in class which is very helpful for the exams.,1
Easy A. Enough said.,1
"I took him for sociology 1301 and 1306. His class is extremely easy. I took one for summer and the only complaint is his syllabus layout. He organized his due dates by a day to day basis and not weekly which made things confusing. He's a little picky about grammar in papers, but not too bad. This was also an online course.",1
"You have to submit a thoughtful response on 3 pieces of literature each week. That was a lot of work. She posts a video lecture each week (usually a few days early) - watch them and take notes. Read the Essay Writing for Students text to help write essays. The essays were short, but you have to earn your mark. She always responds to emails promptly",1
Participation is the key to your success in this class.,1
"Dr. Keeling is by far my favorite professor at CNU. I was really nervous to to take this class, as it was based around LOTR and I had never read it, but she made it very enjoyable. She is very sweet and cares about her students, and makes an effort to make class easy on them (extra credit on every quiz!). I highly recommend her!",1
One of my favorite professors. Loves his job and his students.,1
"Fabulous prof, not sure why people didn't like her. Pretty easy A if you read the material.",1
"She was the worst teacher I have ever had, she is cruel and vindictive. Also now she is in charge of the entire theater department. So now I have no choice but to leave Laguardia, because she is unbearable.",0
LOVED him!  Class was interesting and he is a GREAT teacher!,1
"She is honestly one of the sweetest people and is always willing to help. This course can get a little heavy at times, but she really helps to make it do-able and will always help you if you need feedback on papers. Awesome lady and I would highly recommend a class with her if you're interested in English and literature",1
Dr. Albertson is a great professor. Her class is not an Easy A but you have a really good chance to get it. I would recommend taking her classes to anyone.,1
"Worst professor I have ever had, do not take her course. She added no value to the course and I was required to teach myself the material. Some constructive feedback for her, spending the entire class going through problems without any lectures over the necessary concepts is not helpful and only causes confusion. Please add lectures to your courses",0
