sentiment,text,quality,difficulty,prof_name
,I took Franciscan Spirituality with Br. Daniel Maria and this class was one of my favorite courses out of the 50+ credits of theology I have taken. He is passionate about the subject and his class is engaging. His course gave me a deeper love and understanding of an authentic Franciscan spirituality and challenged me to live this out.,5.0,3.0,Daniel Klimek
,"Dr. Guerriero is a really sweet lady, and if you show up to class and do all your work, you will pass easily. I really liked her, and the class might not have been interesting at all, but you learn a lot that is really beneficial. If I would have to take this class over again, I would definitely take her as my professor, and I highly recommend her!",4.0,2.0,Tara Stringer Guerriero
,"Michelle is so friendly and helpful! Her test are challenging, but I learned so much and felt comfortable asking for help when I needed it!",5.0,4.0,Michelle Dubois
,"Great teacher!this class makes you look at movies differently,gives you a study guide for all her test,papers are clearly explained,her project is a breeze..take this class!highly recommended!",5.0,1.0,Elizabeth Sellers
,The work that she expects you to do is reflective of a 400 level course. The depth of questions and speed at which she expects you to finish exams is not something that someone who is just trying to get their associates degree should be worried about. Just take someone else.,1.0,5.0,Elizabeth Wood
,"I appreciated how much he cared about his students. He is very knowledgeable, articulate and interactive.",5.0,3.0,Masud Khawaja
,"she is very nice and cares about everbody learning. if you have a problem she doesnt mind explaining it. she does use the textbook but as long as you have the study guide and look at the pictures she puts up, you can easily pass. she is awesome",5.0,1.0,Dolores Smith
,Great class.  Lots of writing.,5.0,4.0,Jonathon Westover
,Only he does is reading reading off powerpoint and play youtube videos,2.0,3.0,Bruce Walter
,She is a good teacher but somewhat harsh on papers. Sometimes she didn't explain well the assignments but if you put your effort you'll for sure pass.,3.0,2.0,Regina Blue-Soloman
,"Great, Great Teacher. The Comp sci dept is the best. KC is easy going and fun to be with. sometimes she gets a little over the top but you leard to deal with it. She loves everybody and will take walk ins anytime of the day in her office.",5.0,3.0,K.C. Waddel
,"Is obsessed with the ""chi square"".  It is funny when she gets upset for no reason.  A strange woman.  Yelling ""MRS. WILSON"" for a lab exam to begin was like begging for candy.  Interesting person.....",2.0,5.0,Barb Wilson
,Great teacher! Very easy class and you learn a lot! No test only a final presentation and a 8-10 page paper. Grades easy! Very nice and understanding! I would take another class taught by her!,5.0,1.0,Margaret Beck
,"Great teacher! Very inspirational and fun! She's super-fast when you email or text her. She even does grade drops at the end. Tests and quizzes are pretty easy because you can use your book or notes at home. She helped me overcome my fears with fun and simple stuff in class. I got an A, so I recommend.",5.0,3.0,Kimyetta Hayden
,Jana is a great professor! She makes the complicated concepts make sense and is always great at answering questions.  She is a very supportive professor and really cares about her students.,5.0,3.0,Jana Meinhold
,I took Prof. Zeman for A&P I and Microbiology she is a wonderful professor. She is very nice and extremely helpful. She makes everything clear. Her test are not that difficult as long as you study you will get a good grade. Her exams also have extra credit available. I definitely recommend her!,5.0,3.0,Donna Zeman
,I took this class online and it was a great experience. She was very easy to work with and made all of the expectations very clear. She was very good about responding to emails promptly and when Myaccounyinglab was down for maintenance she was very good about allowing us extra time for assignments and quizes,5.0,3.0,Janell Spencer
,"Professor Vannier rambles a bit but is an okay professor. You can easily pass the class by completing the weekly quiz during lectures and briefly skimming the lecture slides. Anything difficult is pretty easy to figure out with at most a couple minutes of searching. The text book is a waste of time, the internet can suffice.",4.0,1.0,Ryan Vannier
,The lectures are heavy and that is only because he takes the time out to go over homework(one of three things that will determine your grade). He is funny and open. I liked the class alot. The homework and exams are online. But he does care and wants you to understand the work.,5.0,3.0,David Park
,ten out of ten would never take a class with her again. she prides herself on failing pretty much every student on their first essay and takes forever to hand back the essays. she can be very rude and tough on students by calling them out and then humiliating them. DO NOT TAKE THIS CLASS UNLESS IT IS REQUIRED FOR YOUR MAJOR.,1.0,5.0,Maureen Hawkins
,"Awesome teacher! Knows his stuff and gives you plenty of chances to catch up, but his class is fail proof! Show up, do your work & pass! Thank you Mr. Bonilla!",5.0,1.0,Miguel Bonilla
,"Amazing proffersor! He's always interesting in making you better at times he has that ""you should this by now"" attitude but if you don't he'll help you out. Just drink your coffee (can be a bit boring if you're feeling tired) but over amazing proffersor! Love him",4.5,4.0,Peter Knapp
,"Wow, Kubota is something else.  She is a tough teacher, but she keeps it entertaining.  I love going to class, but she makes it easy to skip because of daily homework and boring ""practice with partners"".  She also has a funny lazy eye :). but she's a good teacher, I signed up to have her next semester!",3.0,4.0,Sayuri Kubota
